FinalRank:4.515806	6301, iter=10
FinalRank:4.023976	13770, iter=10
FinalRank:3.631247	4888, iter=10
FinalRank:3.282553	1870, iter=10
FinalRank:3.20861	12942, iter=10
FinalRank:3.158534	21076, iter=10
FinalRank:3.056204	20810, iter=10
FinalRank:3.046022	7341, iter=10
FinalRank:2.997175	2645, iter=10
FinalRank:2.990839	12960, iter=10
FinalRank:2.84228	21525, iter=10
FinalRank:2.810915	36967, iter=10
FinalRank:2.810291	23628, iter=10
FinalRank:2.750317	18001, iter=10
FinalRank:2.730031	13145, iter=10
FinalRank:2.70873	2793, iter=10
FinalRank:2.698737	17271, iter=10
FinalRank:2.639338	37344, iter=10
FinalRank:2.592423	2671, iter=10
FinalRank:2.586687	15444, iter=10
FinalRank:2.556778	13929, iter=10
FinalRank:2.547678	24405, iter=10
FinalRank:2.525496	21257, iter=10
FinalRank:2.524913	7996, iter=10
FinalRank:2.517912	4814, iter=10
FinalRank:2.513659	22679, iter=10
FinalRank:2.50189	5765, iter=10
FinalRank:2.464635	14332, iter=10
FinalRank:2.457169	33266, iter=10
FinalRank:2.438906	9913, iter=10
FinalRank:2.434207	1520, iter=10
FinalRank:2.428492	14383, iter=10
FinalRank:2.418039	16831, iter=10
FinalRank:2.414437	10557, iter=10
FinalRank:2.413723	11889, iter=10
FinalRank:2.397982	9988, iter=10
FinalRank:2.395241	15115, iter=10
FinalRank:2.383845	11316, iter=10
FinalRank:2.380373	33439, iter=10
FinalRank:2.379177	6792, iter=10
FinalRank:2.376272	1633, iter=10
FinalRank:2.37307	4335, iter=10
FinalRank:2.368571	2573, iter=10
FinalRank:2.360054	12001, iter=10
FinalRank:2.358061	4870, iter=10
FinalRank:2.340224	22330, iter=10
FinalRank:2.335473	23452, iter=10
FinalRank:0.980919	8041, iter=10
FinalRank:0.751582	9509, iter=10
FinalRank:0.749683	21700, iter=10
FinalRank:0.747427	599, iter=10
FinalRank:0.708998	7772, iter=10
FinalRank:0.693027	31877, iter=10
FinalRank:0.673274	2372, iter=10
FinalRank:0.667303	8055, iter=10
FinalRank:0.643771	38022, iter=10
FinalRank:0.640248	10724, iter=10
FinalRank:0.632733	5832, iter=10
FinalRank:0.629321	6871, iter=10
FinalRank:0.624172	3990, iter=10
FinalRank:0.62308	43720, iter=10
FinalRank:0.618324	29582, iter=10
FinalRank:0.617928	8135, iter=10
FinalRank:0.616456	31200, iter=10
FinalRank:0.61108	14665, iter=10
FinalRank:0.610689	22892, iter=10
FinalRank:0.601212	50294, iter=10
FinalRank:0.596971	6523, iter=10
FinalRank:0.590249	7260, iter=10
FinalRank:0.586205	18448, iter=10
FinalRank:0.584055	20185, iter=10
FinalRank:0.583907	22640, iter=10
FinalRank:0.582011	439, iter=10
FinalRank:0.577706	8299, iter=10
FinalRank:0.572653	33908, iter=10
FinalRank:0.572578	5428, iter=10
FinalRank:0.572212	47843, iter=10
FinalRank:0.571776	5138, iter=10
FinalRank:0.563575	6748, iter=10
FinalRank:0.305407	6302, iter=10
