FinalRank:3.00562	70, iter=12
FinalRank:2.779532	21, iter=12
FinalRank:2.2854	78, iter=12
FinalRank:1.588942	57, iter=12
FinalRank:1.588855	79, iter=12
FinalRank:1.554153	84, iter=12
FinalRank:1.306214	72, iter=12
FinalRank:1.250312	63, iter=12
FinalRank:1.239647	86, iter=12
FinalRank:1.191201	82, iter=12
FinalRank:1.063823	83, iter=12
FinalRank:1.057634	94, iter=12
FinalRank:1.026115	87, iter=12
FinalRank:1.006131	91, iter=12
FinalRank:1.005643	88, iter=12
FinalRank:0.980745	92, iter=12
FinalRank:0.910495	89, iter=12
FinalRank:0.466876	80, iter=12
FinalRank:0.462212	85, iter=12
FinalRank:0.265928	95, iter=12
FinalRank:0.261698	98, iter=12
FinalRank:0.209337	93, iter=12
FinalRank:0.190481	97, iter=12
FinalRank:0.190479	90, iter=12
FinalRank:0.190478	99, iter=12
