FinalRank:4.544312	6301, iter=7
FinalRank:3.962359	13770, iter=7
FinalRank:3.567031	4888, iter=7
FinalRank:3.172101	12942, iter=7
FinalRank:3.167903	1870, iter=7
FinalRank:3.122249	21076, iter=7
FinalRank:3.01771	20810, iter=7
FinalRank:3.005209	7341, iter=7
FinalRank:2.940449	12960, iter=7
FinalRank:2.879717	2645, iter=7
FinalRank:2.808707	21525, iter=7
FinalRank:2.780284	36967, iter=7
FinalRank:2.772672	23628, iter=7
FinalRank:2.709991	18001, iter=7
FinalRank:2.694909	13145, iter=7
FinalRank:2.664773	17271, iter=7
FinalRank:2.634326	2793, iter=7
FinalRank:2.623818	37344, iter=7
FinalRank:2.545804	15444, iter=7
FinalRank:2.518956	13929, iter=7
FinalRank:2.492055	22679, iter=7
FinalRank:2.491265	7996, iter=7
FinalRank:0.82505	9509, iter=7
FinalRank:0.81852	599, iter=7
FinalRank:0.790275	7772, iter=7
FinalRank:0.727365	2372, iter=7
FinalRank:0.670314	10724, iter=7
FinalRank:0.649758	6871, iter=7
FinalRank:0.642043	5832, iter=7
FinalRank:0.640987	3990, iter=7
FinalRank:0.632534	43720, iter=7
FinalRank:0.596745	7260, iter=7
FinalRank:0.593332	20185, iter=7
FinalRank:0.58865	22640, iter=7
FinalRank:0.585775	439, iter=7
FinalRank:0.579123	5428, iter=7
FinalRank:0.578358	8299, iter=7
FinalRank:0.575666	47843, iter=7
FinalRank:0.563837	6748, iter=7
FinalRank:0.322063	6302, iter=7
