FinalRank:7.741163	21, iter=10
FinalRank:2.172243	31, iter=10
FinalRank:1.960363	72, iter=10
FinalRank:1.751865	63, iter=10
FinalRank:1.695034	9, iter=10
FinalRank:1.658347	78, iter=10
FinalRank:1.638024	92, iter=10
FinalRank:1.535166	71, iter=10
FinalRank:1.463893	45, iter=10
FinalRank:1.410006	95, iter=10
FinalRank:1.35256	27, iter=10
FinalRank:1.351117	86, iter=10
FinalRank:1.335478	37, iter=10
FinalRank:1.290701	83, iter=10
FinalRank:1.287791	88, iter=10
FinalRank:1.246732	1, iter=10
FinalRank:1.229973	15, iter=10
FinalRank:1.223844	70, iter=10
FinalRank:1.201575	80, iter=10
FinalRank:1.197774	99, iter=10
